Metadata_JCP2022,Metadata_NCBI_Gene_ID,Metadata_Symbol
JCP2022_800711,489,ATP2A3
JCP2022_800712,490,ATP2B1
JCP2022_800713,491,ATP2B2
JCP2022_800714,492,ATP2B3
JCP2022_800715,493,ATP2B4
JCP2022_800716,27032,ATP2C1
JCP2022_800717,9914,ATP2C2
JCP2022_800718,495,ATP4A
JCP2022_800719,496,ATP4B
JCP2022_800720,498,ATP5A1
JCP2022_800721,506,ATP5B
JCP2022_800722,509,ATP5C1
JCP2022_800723,517,ATP5G2
JCP2022_800724,518,ATP5G3
JCP2022_800725,10476,ATP5H
JCP2022_800726,522,ATP5J
JCP2022_800727,539,ATP5O
JCP2022_800728,537,ATP6AP1
JCP2022_800729,50617,ATP6V0A4
JCP2022_800730,9114,ATP6V0D1
JCP2022_800731,245972,ATP6V0D2
JCP2022_800732,8992,ATP6V0E1
JCP2022_800733,523,ATP6V1A
JCP2022_800734,525,ATP6V1B1
JCP2022_800735,526,ATP6V1B2
JCP2022_800736,528,ATP6V1C1
JCP2022_800737,245973,ATP6V1C2
JCP2022_800738,51382,ATP6V1D
JCP2022_800739,529,ATP6V1E1
JCP2022_800740,9296,ATP6V1F
JCP2022_800741,9550,ATP6V1G1
JCP2022_800742,534,ATP6V1G2
JCP2022_800743,127124,ATP6V1G3
JCP2022_800744,51606,ATP6V1H
JCP2022_800745,538,ATP7A
JCP2022_800746,540,ATP7B
JCP2022_800747,10396,ATP8A1
JCP2022_800748,51761,ATP8A2
JCP2022_800749,5205,ATP8B1
JCP2022_800750,57198,ATP8B2
JCP2022_800751,148229,ATP8B3
JCP2022_800752,79895,ATP8B4
JCP2022_800753,10079,ATP9A
JCP2022_800754,374868,ATP9B
JCP2022_800755,545,ATR
JCP2022_800756,546,ATRX
JCP2022_800757,92552,ATXN3L
JCP2022_800758,549,AUH
JCP2022_800759,6790,AURKA
JCP2022_800760,54998,AURKAIP1
JCP2022_800761,9212,AURKB
JCP2022_800762,6795,AURKC
JCP2022_800763,552,AVPR1A
JCP2022_800764,553,AVPR1B
JCP2022_800765,554,AVPR2
JCP2022_800766,558,AXL
JCP2022_800767,51582,AZIN1
JCP2022_800768,113451,AZIN2
JCP2022_800769,566,AZU1
JCP2022_800770,567,B2M
JCP2022_800771,8706,B3GALNT1
JCP2022_800772,148789,B3GALNT2
JCP2022_800773,8708,B3GALT1
JCP2022_800774,8707,B3GALT2
JCP2022_800775,8705,B3GALT4
JCP2022_800776,10317,B3GALT5
JCP2022_800777,126792,B3GALT6
JCP2022_800778,27087,B3GAT1
JCP2022_800779,135152,B3GAT2
JCP2022_800780,10678,B3GNT2
